Bedrooms,Bathrooms,SquareFootageHouse,Location,Age,PoolQuality,HasPhotovoltaics,HeatingType,HasFiberglass,IsFurnished,DateSinceForSale,HouseColor,HasFireplace,KitchensQuality,BathroomsQuality,BedroomsQuality,LivingRoomsQuality,SquareFootageGarden,PreviousOwnerRating,HeatingCosts,Price,WindowMaterial
1.0,2.0,65.0,2.0,15.0,0.0,True,1,0,1,2024-03-16,Gray,False,0,2,1,1,14.0,3.0,65.0,207.32179,0
1.0,1.0,33.0,2.0,16.0,-1.0,True,0,0,1,2024-02-06,Yellow,False,0,2,1,2,6.0,2.92,22.6616124633182,173.001,1
1.0,4.0,145.0,2.0,3.0,-1.0,False,1,0,1,2023-12-18,Yellow,False,2,1,1,1,6.0,2.56,145.0,486.07042,2
1.0,1.0,49.0,0.0,47.0,-1.0,False,0,0,1,2020-11-25,White,False,1,1,2,1,6.0,1.31,29.4,42.95066,0
3.0,4.0,148.0,1.0,14.0,-1.0,False,1,0,1,2020-12-02,Gray,False,1,1,1,1,6.0,1.5,147.55005290923265,275.77505,1
2.0,2.0,122.0,0.0,45.0,1.0,True,2,0,1,2023-01-08,Green,False,1,0,0,0,16.0,2.38,195.37774000600527,172.52638,1
2.0,2.0,119.0,1.0,42.0,1.0,False,0,0,0,2021-01-28,Green,False,2,1,2,1,16.0,2.21,71.68323365735058,156.40266,0
1.0,1.0,39.0,2.0,64.0,-1.0,True,2,1,0,2022-05-17,Green,False,1,1,1,1,6.0,1.66,60.8,232.50046,2
2.0,3.0,109.0,1.0,38.0,-1.0,False,1,0,1,2023-03-29,Green,False,2,1,0,1,6.0,2.3,108.0,176.28976,0
4.0,4.0,133.0,0.0,65.0,1.0,False,2,0,1,2021-08-30,Gray,False,1,2,1,1,16.0,3.06,212.8,197.74485,1
3.0,2.0,125.0,2.0,47.0,2.0,False,2,0,1,2020-04-04,White,False,1,0,2,1,46.0,2.58,200.19148467605814,417.38406,0
1.0,1.0,57.0,1.0,47.0,1.0,False,2,0,0,2021-08-26,Gray,False,1,1,2,0,16.0,2.75,91.079938821526,152.4031,1
1.0,1.0,66.0,1.0,47.0,1.0,False,0,0,0,2021-02-11,Yellow,False,1,1,1,1,16.0,2.57,39.6,95.72486,0
3.0,1.0,109.0,0.0,56.0,-1.0,False,0,0,0,2021-05-09,Gray,False,1,2,0,1,6.0,2.0,65.9830451464166,67.77262,0
2.0,1.0,80.0,2.0,43.0,-1.0,False,0,1,1,2022-03-09,Gray,False,2,0,1,1,6.0,1.75,49.45249846470799,316.28369,2
1.0,5.0,148.0,0.0,26.0,0.0,False,0,1,1,2023-11-24,White,False,2,1,0,2,14.0,2.81,88.21378033905918,176.04793,1
2.0,4.0,134.0,1.0,35.0,1.0,False,2,1,1,2023-04-30,Green,False,1,2,1,1,16.0,1.97,214.6327186862168,413.91325,2
1.0,1.0,46.0,1.0,47.0,-1.0,True,1,0,1,2022-02-18,Yellow,False,2,2,1,1,6.0,4.54,45.0,131.35081,1
1.0,1.0,36.0,2.0,59.0,1.0,False,1,1,1,2020-06-19,Gray,False,0,1,1,1,16.0,4.26,36.99187134451223,210.18379,1
1.0,1.0,89.0,2.0,47.0,0.0,False,1,0,1,2023-07-04,Green,False,1,0,2,1,14.0,2.37,89.30958226353171,369.94703,2
2.0,2.0,69.0,1.0,36.0,-1.0,True,0,0,1,2023-03-12,Yellow,False,1,1,1,1,6.0,1.3,41.4,109.66716,0
1.0,1.0,66.0,1.0,62.0,-1.0,True,2,1,1,2024-01-03,White,False,0,2,2,2,6.0,3.89,107.2,157.02726,0
1.0,1.0,35.0,2.0,52.0,-1.0,False,0,0,1,2021-06-06,Yellow,False,1,1,1,1,6.0,2.52,20.4,85.22168,0
2.0,5.0,144.0,2.0,43.0,-1.0,False,0,1,0,2021-03-10,Gray,False,2,1,0,2,6.0,1.44,85.93370493468558,290.83335,1
3.0,3.0,112.0,2.0,40.0,2.0,False,0,1,1,2022-06-16,White,False,2,1,1,0,46.0,1.85,68.4,381.84218,0
2.0,1.0,110.0,0.0,36.0,-1.0,False,1,0,0,2020-10-27,White,False,2,2,0,0,6.0,3.6,111.0,105.38268,1
1.0,1.0,59.0,2.0,33.0,-1.0,False,0,0,1,2022-07-17,Gray,False,2,1,1,1,6.0,2.07,37.482102591746596,134.87541,0
1.0,1.0,31.0,2.0,69.0,1.0,False,0,1,1,2020-12-15,Gray,False,2,2,1,1,16.0,3.02,21.521574761131397,215.26759,1
1.0,2.0,106.0,1.0,25.0,-1.0,False,1,1,0,2020-02-23,Gray,False,2,1,0,0,6.0,2.45,106.0,215.97648,2
1.0,1.0,27.0,2.0,50.0,1.0,False,2,1,1,2024-03-12,Gray,False,1,2,0,2,16.0,2.73,46.4,329.06989,2
1.0,1.0,50.0,1.0,20.0,-1.0,False,0,0,1,2021-01-03,Gray,False,2,1,1,2,6.0,2.65,32.35193293190599,192.68739,2
1.0,1.0,45.0,1.0,42.0,-1.0,False,1,0,0,2023-08-22,White,False,2,1,0,1,6.0,2.15,44.0,73.01597,0
1.0,1.0,40.0,1.0,59.0,-1.0,False,0,1,1,2023-10-29,Yellow,False,1,1,2,1,6.0,4.68,24.0,85.6927,0
1.0,1.0,54.0,1.0,46.0,-1.0,False,2,1,1,2022-07-03,Green,False,2,1,1,2,6.0,2.2,86.4,240.31304,2
1.0,3.0,120.0,1.0,36.0,-1.0,True,1,0,0,2021-05-01,Gray,False,0,2,1,1,6.0,3.26,119.91050751805255,189.09294,1
2.0,2.0,60.0,0.0,47.0,-1.0,False,1,0,0,2020-05-08,Gray,False,1,1,1,1,6.0,2.24,60.682910251238035,48.49086,0
2.0,2.0,81.0,2.0,47.0,-1.0,True,1,1,1,2021-06-24,White,False,2,1,1,0,6.0,3.05,82.0,326.95781,2
1.0,1.0,56.0,2.0,42.0,-1.0,False,0,0,1,2023-01-11,Green,False,1,1,2,0,6.0,3.31,35.7720460384664,268.41264,2
1.0,1.0,46.0,1.0,48.0,-1.0,False,1,1,1,2022-08-19,Yellow,False,2,1,0,2,6.0,1.56,46.0,207.05593,2
1.0,3.0,116.0,1.0,39.0,-1.0,False,2,1,0,2022-01-28,Gray,False,2,2,1,0,6.0,1.36,185.75025066589947,194.77499,0
1.0,1.0,52.0,0.0,63.0,-1.0,False,0,1,1,2021-11-02,Green,False,1,0,1,1,6.0,1.71,33.491970634092795,48.71951,0
1.0,1.0,58.0,2.0,47.0,-1.0,False,2,0,1,2020-11-02,Yellow,False,1,2,1,2,6.0,4.37,92.8,302.38519,2
2.0,1.0,78.0,2.0,47.0,0.0,False,2,1,0,2023-03-13,Gray,False,2,2,2,1,14.0,1.41,124.8,231.679,0
1.0,1.0,44.0,1.0,39.0,1.0,True,2,1,1,2020-02-20,Green,False,2,0,2,0,16.0,1.52,70.22037858463015,182.52735,1
1.0,1.0,50.0,2.0,51.0,-1.0,False,1,0,1,2020-01-28,Yellow,False,2,0,0,1,6.0,4.15,50.81164404010228,175.91141,1
1.0,1.0,21.0,2.0,58.0,-1.0,False,1,0,1,2023-07-08,Yellow,False,2,1,1,0,6.0,4.71,22.0,227.44803,2
2.0,1.0,103.0,1.0,54.0,-1.0,False,2,0,1,2020-08-22,White,False,1,0,0,1,6.0,3.83,163.2,217.5162,1
2.0,2.0,105.0,1.0,64.0,-1.0,True,1,0,1,2022-03-21,White,False,1,1,2,2,6.0,3.32,104.0,166.85527,0
2.0,2.0,124.0,1.0,59.0,-1.0,False,0,0,1,2021-02-27,Yellow,False,2,2,2,1,6.0,4.42,74.4,164.2854,0
2.0,1.0,86.0,2.0,55.0,0.0,True,0,0,1,2021-07-01,Yellow,False,1,1,1,1,14.0,1.25,52.2,256.16868,1
1.0,2.0,122.0,1.0,62.0,1.0,False,0,0,1,2021-12-21,Yellow,False,1,1,1,2,16.0,3.7,73.2,177.93653,0
1.0,1.0,29.0,0.0,31.0,-1.0,False,2,0,0,2021-08-07,Yellow,False,1,1,1,2,6.0,2.58,44.8,41.50118,0
1.0,1.0,43.0,1.0,63.0,-1.0,True,1,1,1,2021-01-27,Gray,False,1,2,2,2,6.0,1.23,43.90175769230725,152.01113,1
2.0,2.0,72.0,2.0,68.0,2.0,False,2,1,1,2021-08-03,White,False,1,1,1,0,46.0,3.48,115.2,416.7227,1
1.0,1.0,53.0,1.0,47.0,-1.0,False,0,1,1,2020-03-30,Gray,False,1,1,1,0,6.0,2.08,32.4,124.47299,1
1.0,1.0,67.0,1.0,57.0,-1.0,False,1,0,0,2022-04-20,Green,False,1,1,2,1,6.0,3.22,67.59279659903306,179.48507,2
5.0,1.0,145.0,1.0,47.0,1.0,False,2,0,1,2023-06-07,Gray,False,0,0,1,1,16.0,2.61,232.0,338.96564,1
1.0,2.0,145.0,0.0,24.0,2.0,True,2,0,1,2023-11-21,White,False,2,0,1,0,46.0,3.62,230.4,285.70427,2
2.0,3.0,117.0,0.0,54.0,-1.0,False,1,1,1,2020-07-03,Yellow,False,2,2,1,1,6.0,1.9,117.0,114.88477,0
4.0,2.0,129.0,2.0,64.0,-1.0,False,0,0,1,2024-01-02,Green,False,1,0,0,0,6.0,1.7,77.38342216828458,366.06377,2
1.0,1.0,30.0,0.0,3.0,-1.0,False,2,0,1,2022-01-18,Gray,False,2,1,1,2,6.0,2.94,49.6,61.28632,0
3.0,1.0,134.0,0.0,49.0,-1.0,False,1,0,1,2023-08-05,Gray,False,0,0,1,1,6.0,3.1,134.0,113.12582,0
1.0,1.0,20.0,1.0,42.0,1.0,False,2,1,0,2023-04-07,Gray,False,0,0,2,1,16.0,1.12,31.71042122420704,173.62971,2
2.0,3.0,115.0,1.0,71.0,-1.0,True,0,1,1,2020-05-06,White,False,2,1,1,1,6.0,2.95,69.403158252977,204.20415,1
5.0,1.0,147.0,1.0,27.0,1.0,False,1,0,1,2022-01-14,White,False,0,0,1,0,16.0,1.3,146.0,336.6885,2
5.0,1.0,144.0,2.0,47.0,-1.0,False,0,0,1,2020-02-09,Green,False,1,1,0,1,6.0,2.53,87.0,286.85049,1
1.0,1.0,24.0,1.0,36.0,-1.0,False,1,1,1,2020-12-24,Green,False,0,1,2,2,6.0,2.55,25.146351891149322,175.9338,2
3.0,3.0,125.0,0.0,52.0,-1.0,False,1,0,1,2024-02-17,Green,False,0,2,1,2,6.0,2.75,124.84614062362043,188.81029,2
1.0,1.0,59.0,1.0,50.0,-1.0,False,0,1,0,2022-09-26,White,False,2,0,1,1,6.0,2.23,37.2,174.77886,2
1.0,1.0,41.0,0.0,47.0,1.0,False,1,0,1,2020-12-17,Green,False,1,1,1,1,16.0,1.71,42.0,118.883,2
2.0,2.0,70.0,1.0,51.0,-1.0,False,0,1,1,2023-12-20,Yellow,False,1,0,0,2,6.0,3.31,43.752309953773995,168.68387,1
2.0,3.0,101.0,0.0,34.0,1.0,False,2,1,0,2020-02-11,Green,False,1,1,2,1,16.0,2.68,161.68152731563504,165.18466,2
1.0,1.0,96.0,1.0,47.0,-1.0,False,2,1,1,2022-12-05,Yellow,False,0,1,1,2,6.0,2.09,155.2,181.90686,0
2.0,3.0,117.0,2.0,41.0,-1.0,False,1,0,1,2022-04-08,Gray,False,1,1,2,1,6.0,1.02,116.0,260.6362,0
2.0,3.0,120.0,2.0,34.0,-1.0,False,0,0,1,2023-07-16,Green,False,1,0,1,2,6.0,3.0,72.0,378.64103,2
2.0,2.0,120.0,2.0,40.0,-1.0,False,0,0,1,2023-12-21,Green,False,2,0,1,0,6.0,2.37,71.4,213.97397,0
1.0,2.0,70.0,1.0,47.0,-1.0,True,1,0,1,2020-12-03,Gray,False,1,1,0,2,6.0,1.65,69.0,201.0415,2
1.0,1.0,47.0,1.0,36.0,-1.0,False,2,1,0,2020-02-08,Green,False,1,1,2,1,6.0,2.38,75.03412325468304,137.29978,1
1.0,1.0,104.0,1.0,47.0,1.0,True,0,0,1,2021-09-21,Green,False,0,1,1,1,16.0,2.03,63.13295089094959,141.41593,0
1.0,2.0,80.0,2.0,57.0,-1.0,False,1,1,1,2023-06-04,Green,False,1,1,1,2,6.0,3.03,80.42544267350954,353.83271,2
1.0,1.0,25.0,2.0,71.0,-1.0,False,1,1,0,2023-08-31,Yellow,False,0,1,0,1,6.0,2.85,26.133478512262897,189.49891,2
1.0,1.0,35.0,2.0,52.0,2.0,False,1,1,1,2022-12-02,White,False,1,1,2,2,46.0,2.73,36.00474472339865,425.90971,2
1.0,1.0,59.0,2.0,69.0,-1.0,False,1,0,1,2023-10-13,Gray,False,1,1,1,1,6.0,1.04,57.0,206.81693,1
1.0,1.0,26.0,2.0,50.0,-1.0,False,0,0,0,2024-03-10,White,False,0,2,1,1,6.0,2.52,15.6,66.73551,0
1.0,1.0,42.0,2.0,37.0,-1.0,False,0,0,0,2023-11-28,White,False,2,1,1,1,6.0,3.54,25.8,160.08991,1
1.0,1.0,54.0,1.0,53.0,-1.0,False,0,1,1,2021-07-31,White,False,0,2,0,1,6.0,1.38,34.6320083362796,135.81925,1
5.0,4.0,140.0,0.0,18.0,1.0,False,0,1,1,2021-07-08,Gray,False,1,2,1,2,16.0,2.36,84.6,179.91249,1
3.0,2.0,120.0,2.0,67.0,-1.0,False,2,0,0,2023-07-15,Gray,False,1,1,1,2,6.0,1.54,192.16857689263668,395.16137,2
1.0,1.0,102.0,2.0,47.0,2.0,False,2,1,0,2024-03-13,Green,False,1,2,1,2,46.0,3.39,161.6,367.64759,0
1.0,1.0,73.0,0.0,69.0,-1.0,False,1,0,0,2022-01-09,Gray,False,1,1,0,2,6.0,1.09,73.51555632571451,80.46997,1
2.0,1.0,132.0,0.0,27.0,-1.0,True,2,1,1,2021-08-13,Yellow,False,1,2,1,1,6.0,1.98,211.42355557284822,212.69941,2
3.0,2.0,128.0,0.0,29.0,-1.0,False,0,0,0,2022-10-01,Green,False,2,2,1,2,6.0,2.02,76.8,91.6218,0
2.0,3.0,123.0,0.0,38.0,-1.0,False,0,1,1,2022-06-22,Yellow,False,2,2,2,1,6.0,1.2,73.96330906172419,114.44502,0
1.0,1.0,41.0,0.0,53.0,-1.0,True,2,1,1,2024-02-28,White,False,0,2,1,0,6.0,2.96,65.40663391457726,59.27714,0
1.0,1.0,45.0,1.0,47.0,-1.0,True,2,1,1,2022-10-05,Gray,False,2,1,1,2,6.0,1.87,71.82496014131445,177.63342,1
1.0,2.0,87.0,0.0,61.0,1.0,False,0,1,0,2023-06-23,Gray,False,2,2,2,0,16.0,1.46,53.442630422361795,138.39895,2
1.0,1.0,40.0,1.0,47.0,0.0,False,0,0,1,2022-07-23,Gray,False,1,1,1,1,14.0,2.82,26.651744420971998,185.83721,2
1.0,1.0,74.0,2.0,36.0,-1.0,False,1,0,1,2023-12-08,Gray,False,0,2,0,0,6.0,4.66,74.50268294682809,304.53114,2
1.0,1.0,75.0,2.0,47.0,1.0,False,2,1,1,2023-03-19,Yellow,False,1,2,1,2,16.0,2.11,118.4,345.47573,1
2.0,2.0,80.0,0.0,52.0,-1.0,False,2,0,0,2024-03-05,Yellow,False,1,1,1,2,6.0,4.14,127.9853146252648,86.32978,0
1.0,1.0,58.0,1.0,47.0,-1.0,False,2,0,1,2021-03-20,Yellow,False,1,1,2,1,6.0,1.93,94.4,211.80228,2
2.0,2.0,94.0,1.0,67.0,1.0,False,1,1,1,2022-06-13,Green,False,2,1,2,0,16.0,3.42,94.2452153690996,243.03653,1
2.0,2.0,138.0,0.0,52.0,-1.0,False,0,1,0,2020-08-13,Gray,False,0,0,1,0,6.0,2.47,82.2,126.06172,2
3.0,1.0,119.0,1.0,70.0,-1.0,False,2,0,1,2021-03-27,White,False,1,0,1,0,6.0,1.64,190.56399533595237,244.05737,1
1.0,1.0,100.0,1.0,48.0,-1.0,False,1,0,1,2023-11-18,Green,False,1,1,1,2,6.0,3.36,100.16797509578105,266.35565,2
1.0,1.0,99.0,1.0,53.0,1.0,False,1,0,0,2022-03-23,White,False,2,1,0,1,16.0,1.47,99.18084847466747,229.69162,2
3.0,3.0,133.0,2.0,52.0,-1.0,False,2,0,1,2021-08-22,Yellow,False,0,2,1,2,6.0,4.74,216.0,352.56597,0
