Bedrooms,Bathrooms,SquareFootageHouse,Location,Age,PoolQuality,HasPhotovoltaics,HeatingType,HasFiberglass,IsFurnished,HouseColor,HasFireplace,KitchensQuality,BathroomsQuality,BedroomsQuality,LivingRoomsQuality,SquareFootageGarden,PreviousOwnerRating,HeatingCosts,Price,WindowMaterial
2.0,2.0,95.0,Urban,38.0,NoPool,True,Oil,False,False,White,False,Good,Excellent,Excellent,Poor,6.0,1.88,152.05403797552927,167.73093,Aluminum
1.0,1.0,97.0,Urban,43.0,NoPool,True,Electric,False,True,White,False,Good,Good,Good,Good,6.0,3.4,59.142818933295786,129.50189,Aluminum
1.0,1.0,58.0,Rural,35.0,NoPool,False,Oil,False,True,Gray,False,Poor,Poor,Good,Excellent,6.0,1.45,92.68452037821028,316.54506,Steel
1.0,1.0,41.0,Urban,70.0,NoPool,True,Electric,False,True,White,False,Excellent,Poor,Good,Good,6.0,3.15,27.2217632720654,173.23775,Steel
2.0,1.0,71.0,Urban,13.0,NoPool,True,Electric,True,False,Gray,False,Poor,Good,Good,Good,6.0,2.85,44.3223288048674,146.63691,Wood
3.0,1.0,116.0,Urban,2.0,NoPool,True,Oil,True,True,Gray,False,Good,Poor,Poor,Excellent,6.0,2.59,184.0,229.05636,Aluminum
2.0,2.0,90.0,Rural,20.0,NoPool,False,Oil,True,True,Green,False,Good,Poor,Good,Excellent,6.0,2.72,145.6,432.61927,Steel
1.0,2.0,98.0,Rural,47.0,NoPool,False,Gas,False,False,Green,False,Poor,Excellent,Excellent,Good,6.0,3.39,98.19372185355388,221.86337,Wood
1.0,1.0,59.0,Urban,57.0,Good,False,Gas,False,False,Yellow,False,Good,Good,Good,Poor,16.0,4.2,59.69578363012444,101.6956,Aluminum
1.0,1.0,76.0,Suburban,44.0,Good,False,Oil,False,True,Yellow,False,Excellent,Good,Good,Good,16.0,4.14,123.2,111.35587,Aluminum
2.0,2.0,116.0,Suburban,33.0,Good,False,Oil,False,True,Green,False,Good,Excellent,Good,Excellent,16.0,2.77,185.6,182.82843,Wood
2.0,1.0,144.0,Suburban,25.0,NoPool,False,Gas,False,False,White,False,Excellent,Good,Good,Good,6.0,3.48,143.60154642477835,100.83972,Aluminum
1.0,2.0,65.0,Rural,15.0,Poor,True,Gas,False,True,Gray,False,Poor,Excellent,Good,Good,14.0,3.0,65.0,207.32179,Aluminum
1.0,1.0,33.0,Rural,16.0,NoPool,True,Electric,False,True,Yellow,False,Poor,Excellent,Good,Excellent,6.0,2.92,22.661612463318203,173.001,Wood
1.0,4.0,145.0,Rural,3.0,NoPool,False,Gas,False,True,Yellow,False,Excellent,Good,Good,Good,6.0,2.56,145.0,486.07042,Steel
1.0,1.0,49.0,Suburban,47.0,NoPool,False,Electric,False,True,White,False,Good,Good,Excellent,Good,6.0,1.31,29.4,42.95066,Aluminum
3.0,4.0,148.0,Urban,14.0,NoPool,False,Gas,False,True,Gray,False,Good,Good,Good,Good,6.0,1.5,147.55005290923265,275.77505,Wood
2.0,2.0,122.0,Suburban,45.0,Good,True,Oil,False,True,Green,False,Good,Poor,Poor,Poor,16.0,2.38,195.3777400060053,172.52638,Wood
2.0,2.0,119.0,Urban,42.0,Good,False,Electric,False,False,Green,False,Excellent,Good,Excellent,Good,16.0,2.21,71.68323365735057,156.40266,Aluminum
1.0,1.0,39.0,Rural,64.0,NoPool,True,Oil,True,False,Green,False,Good,Good,Good,Good,6.0,1.66,60.8,232.50046,Steel
2.0,3.0,109.0,Urban,38.0,NoPool,False,Gas,False,True,Green,False,Excellent,Good,Poor,Good,6.0,2.3,108.0,176.28976,Aluminum
4.0,4.0,133.0,Suburban,65.0,Good,False,Oil,False,True,Gray,False,Good,Excellent,Good,Good,16.0,3.06,212.8,197.74485,Wood
3.0,2.0,125.0,Rural,47.0,Excellent,False,Oil,False,True,White,False,Good,Poor,Excellent,Good,46.0,2.58,200.1914846760582,417.38406,Aluminum
1.0,1.0,57.0,Urban,47.0,Good,False,Oil,False,False,Gray,False,Good,Good,Excellent,Poor,16.0,2.75,91.07993882152599,152.4031,Wood
1.0,1.0,66.0,Urban,47.0,Good,False,Electric,False,False,Yellow,False,Good,Good,Good,Good,16.0,2.57,39.6,95.72486,Aluminum
3.0,1.0,109.0,Suburban,56.0,NoPool,False,Electric,False,False,Gray,False,Good,Excellent,Poor,Good,6.0,2.0,65.98304514641659,67.77262,Aluminum
2.0,1.0,80.0,Rural,43.0,NoPool,False,Electric,True,True,Gray,False,Excellent,Poor,Good,Good,6.0,1.75,49.45249846470799,316.28369,Steel
1.0,5.0,148.0,Suburban,26.0,Poor,False,Electric,True,True,White,False,Excellent,Good,Poor,Excellent,14.0,2.81,88.21378033905918,176.04793,Wood
2.0,4.0,134.0,Urban,35.0,Good,False,Oil,True,True,Green,False,Good,Excellent,Good,Good,16.0,1.97,214.6327186862169,413.91325,Steel
1.0,1.0,46.0,Urban,47.0,NoPool,True,Gas,False,True,Yellow,False,Excellent,Excellent,Good,Good,6.0,4.54,45.0,131.35081,Wood
1.0,1.0,36.0,Rural,59.0,Good,False,Gas,True,True,Gray,False,Poor,Good,Good,Good,16.0,4.26,36.991871344512205,210.18379,Wood
1.0,1.0,89.0,Rural,47.0,Poor,False,Gas,False,True,Green,False,Good,Poor,Excellent,Good,14.0,2.37,89.30958226353171,369.94703,Steel
2.0,2.0,69.0,Urban,36.0,NoPool,True,Electric,False,True,Yellow,False,Good,Good,Good,Good,6.0,1.3,41.4,109.66716,Aluminum
1.0,1.0,66.0,Urban,62.0,NoPool,True,Oil,True,True,White,False,Poor,Excellent,Excellent,Excellent,6.0,3.89,107.2,157.02726,Aluminum
1.0,1.0,35.0,Rural,52.0,NoPool,False,Electric,False,True,Yellow,False,Good,Good,Good,Good,6.0,2.52,20.4,85.22168,Aluminum
2.0,5.0,144.0,Rural,43.0,NoPool,False,Electric,True,False,Gray,False,Excellent,Good,Poor,Excellent,6.0,1.44,85.93370493468558,290.83335,Wood
3.0,3.0,112.0,Rural,40.0,Excellent,False,Electric,True,True,White,False,Excellent,Good,Good,Poor,46.0,1.85,68.4,381.84218,Aluminum
2.0,1.0,110.0,Suburban,36.0,NoPool,False,Gas,False,False,White,False,Excellent,Excellent,Poor,Poor,6.0,3.6,111.0,105.38268,Wood
1.0,1.0,59.0,Rural,33.0,NoPool,False,Electric,False,True,Gray,False,Excellent,Good,Good,Good,6.0,2.07,37.482102591746596,134.87541,Aluminum
1.0,1.0,31.0,Rural,69.0,Good,False,Electric,True,True,Gray,False,Excellent,Excellent,Good,Good,16.0,3.02,21.5215747611314,215.26759,Wood
1.0,2.0,106.0,Urban,25.0,NoPool,False,Gas,True,False,Gray,False,Excellent,Good,Poor,Poor,6.0,2.45,106.0,215.97648,Steel
1.0,1.0,27.0,Rural,50.0,Good,False,Oil,True,True,Gray,False,Good,Excellent,Poor,Excellent,16.0,2.73,46.4,329.06989,Steel
1.0,1.0,50.0,Urban,20.0,NoPool,False,Electric,False,True,Gray,False,Excellent,Good,Good,Excellent,6.0,2.65,32.351932931906,192.68739,Steel
1.0,1.0,45.0,Urban,42.0,NoPool,False,Gas,False,False,White,False,Excellent,Good,Poor,Good,6.0,2.15,44.0,73.01597,Aluminum
1.0,1.0,40.0,Urban,59.0,NoPool,False,Electric,True,True,Yellow,False,Good,Good,Excellent,Good,6.0,4.68,24.0,85.6927,Aluminum
1.0,1.0,54.0,Urban,46.0,NoPool,False,Oil,True,True,Green,False,Excellent,Good,Good,Excellent,6.0,2.2,86.4,240.31304,Steel
1.0,3.0,120.0,Urban,36.0,NoPool,True,Gas,False,False,Gray,False,Poor,Excellent,Good,Good,6.0,3.26,119.91050751805255,189.09294,Wood
2.0,2.0,60.0,Suburban,47.0,NoPool,False,Gas,False,False,Gray,False,Good,Good,Good,Good,6.0,2.24,60.68291025123802,48.49086,Aluminum
2.0,2.0,81.0,Rural,47.0,NoPool,True,Gas,True,True,White,False,Excellent,Good,Good,Poor,6.0,3.05,82.0,326.95781,Steel
1.0,1.0,56.0,Rural,42.0,NoPool,False,Electric,False,True,Green,False,Good,Good,Excellent,Poor,6.0,3.31,35.7720460384664,268.41264,Steel
1.0,1.0,46.0,Urban,48.0,NoPool,False,Gas,True,True,Yellow,False,Excellent,Good,Poor,Excellent,6.0,1.56,46.0,207.05593,Steel
1.0,3.0,116.0,Urban,39.0,NoPool,False,Oil,True,False,Gray,False,Excellent,Excellent,Good,Poor,6.0,1.36,185.75025066589953,194.77499,Aluminum
1.0,1.0,52.0,Suburban,63.0,NoPool,False,Electric,True,True,Green,False,Good,Poor,Good,Good,6.0,1.71,33.491970634092795,48.71951,Aluminum
1.0,1.0,58.0,Rural,47.0,NoPool,False,Oil,False,True,Yellow,False,Good,Excellent,Good,Excellent,6.0,4.37,92.8,302.38519,Steel
2.0,1.0,78.0,Rural,47.0,Poor,False,Oil,True,False,Gray,False,Excellent,Excellent,Excellent,Good,14.0,1.41,124.8,231.679,Aluminum
1.0,1.0,44.0,Urban,39.0,Good,True,Oil,True,True,Green,False,Excellent,Poor,Excellent,Poor,16.0,1.52,70.22037858463011,182.52735,Wood
1.0,1.0,50.0,Rural,51.0,NoPool,False,Gas,False,True,Yellow,False,Excellent,Poor,Poor,Good,6.0,4.15,50.81164404010226,175.91141,Wood
1.0,1.0,21.0,Rural,58.0,NoPool,False,Gas,False,True,Yellow,False,Excellent,Good,Good,Poor,6.0,4.71,22.0,227.44803,Steel
2.0,1.0,103.0,Urban,54.0,NoPool,False,Oil,False,True,White,False,Good,Poor,Poor,Good,6.0,3.83,163.2,217.5162,Wood
2.0,2.0,105.0,Urban,64.0,NoPool,True,Gas,False,True,White,False,Good,Good,Excellent,Excellent,6.0,3.32,104.0,166.85527,Aluminum
2.0,2.0,124.0,Urban,59.0,NoPool,False,Electric,False,True,Yellow,False,Excellent,Excellent,Excellent,Good,6.0,4.42,74.4,164.2854,Aluminum
2.0,1.0,86.0,Rural,55.0,Poor,True,Electric,False,True,Yellow,False,Good,Good,Good,Good,14.0,1.25,52.2,256.16868,Wood
1.0,2.0,122.0,Urban,62.0,Good,False,Electric,False,True,Yellow,False,Good,Good,Good,Excellent,16.0,3.7,73.2,177.93653,Aluminum
1.0,1.0,29.0,Suburban,31.0,NoPool,False,Oil,False,False,Yellow,False,Good,Good,Good,Excellent,6.0,2.58,44.8,41.50118,Aluminum
1.0,1.0,43.0,Urban,63.0,NoPool,True,Gas,True,True,Gray,False,Good,Excellent,Excellent,Excellent,6.0,1.23,43.901757692307235,152.01113,Wood
2.0,2.0,72.0,Rural,68.0,Excellent,False,Oil,True,True,White,False,Good,Good,Good,Poor,46.0,3.48,115.2,416.7227,Wood
1.0,1.0,53.0,Urban,47.0,NoPool,False,Electric,True,True,Gray,False,Good,Good,Good,Poor,6.0,2.08,32.4,124.47299,Wood
1.0,1.0,67.0,Urban,57.0,NoPool,False,Gas,False,False,Green,False,Good,Good,Excellent,Good,6.0,3.22,67.59279659903305,179.48507,Steel
5.0,1.0,145.0,Urban,47.0,Good,False,Oil,False,True,Gray,False,Poor,Poor,Good,Good,16.0,2.61,232.0,338.96564,Wood
1.0,2.0,145.0,Suburban,24.0,Excellent,True,Oil,False,True,White,False,Excellent,Poor,Good,Poor,46.0,3.62,230.4,285.70427,Steel
2.0,3.0,117.0,Suburban,54.0,NoPool,False,Gas,True,True,Yellow,False,Excellent,Excellent,Good,Good,6.0,1.9,117.0,114.88477,Aluminum
4.0,2.0,129.0,Rural,64.0,NoPool,False,Electric,False,True,Green,False,Good,Poor,Poor,Poor,6.0,1.7,77.38342216828457,366.06377,Steel
1.0,1.0,30.0,Suburban,3.0,NoPool,False,Oil,False,True,Gray,False,Excellent,Good,Good,Excellent,6.0,2.94,49.6,61.28632,Aluminum
3.0,1.0,134.0,Suburban,49.0,NoPool,False,Gas,False,True,Gray,False,Poor,Poor,Good,Good,6.0,3.1,134.0,113.12582,Aluminum
1.0,1.0,20.0,Urban,42.0,Good,False,Oil,True,False,Gray,False,Poor,Poor,Excellent,Good,16.0,1.12,31.710421224206982,173.62971,Steel
2.0,3.0,115.0,Urban,71.0,NoPool,True,Electric,True,True,White,False,Excellent,Good,Good,Good,6.0,2.95,69.403158252977,204.20415,Wood
5.0,1.0,147.0,Urban,27.0,Good,False,Gas,False,True,White,False,Poor,Poor,Good,Poor,16.0,1.3,146.0,336.6885,Steel
5.0,1.0,144.0,Rural,47.0,NoPool,False,Electric,False,True,Green,False,Good,Good,Poor,Good,6.0,2.53,87.0,286.85049,Wood
1.0,1.0,24.0,Urban,36.0,NoPool,False,Gas,True,True,Green,False,Poor,Good,Excellent,Excellent,6.0,2.55,25.146351891149298,175.9338,Steel
3.0,3.0,125.0,Suburban,52.0,NoPool,False,Gas,False,True,Green,False,Poor,Excellent,Good,Excellent,6.0,2.75,124.84614062362043,188.81029,Steel
1.0,1.0,59.0,Urban,50.0,NoPool,False,Electric,True,False,White,False,Excellent,Poor,Good,Good,6.0,2.23,37.2,174.77886,Steel
1.0,1.0,41.0,Suburban,47.0,Good,False,Gas,False,True,Green,False,Good,Good,Good,Good,16.0,1.71,42.0,118.883,Steel
2.0,2.0,70.0,Urban,51.0,NoPool,False,Electric,True,True,Yellow,False,Good,Poor,Poor,Excellent,6.0,3.31,43.752309953773995,168.68387,Wood
2.0,3.0,101.0,Suburban,34.0,Good,False,Oil,True,False,Green,False,Good,Good,Excellent,Good,16.0,2.68,161.68152731563507,165.18466,Steel
1.0,1.0,96.0,Urban,47.0,NoPool,False,Oil,True,True,Yellow,False,Poor,Good,Good,Excellent,6.0,2.09,155.2,181.90686,Aluminum
2.0,3.0,117.0,Rural,41.0,NoPool,False,Gas,False,True,Gray,False,Good,Good,Excellent,Good,6.0,1.02,116.0,260.6362,Aluminum
2.0,3.0,120.0,Rural,34.0,NoPool,False,Electric,False,True,Green,False,Good,Poor,Good,Excellent,6.0,3.0,72.0,378.64103,Steel
2.0,2.0,120.0,Rural,40.0,NoPool,False,Electric,False,True,Green,False,Excellent,Poor,Good,Poor,6.0,2.37,71.4,213.97397,Aluminum
1.0,2.0,70.0,Urban,47.0,NoPool,True,Gas,False,True,Gray,False,Good,Good,Poor,Excellent,6.0,1.65,69.0,201.0415,Steel
1.0,1.0,47.0,Urban,36.0,NoPool,False,Oil,True,False,Green,False,Good,Good,Excellent,Good,6.0,2.38,75.03412325468301,137.29978,Wood
1.0,1.0,104.0,Urban,47.0,Good,True,Electric,False,True,Green,False,Poor,Good,Good,Good,16.0,2.03,63.13295089094959,141.41593,Aluminum
1.0,2.0,80.0,Rural,57.0,NoPool,False,Gas,True,True,Green,False,Good,Good,Good,Excellent,6.0,3.03,80.42544267350952,353.83271,Steel
1.0,1.0,25.0,Rural,71.0,NoPool,False,Gas,True,False,Yellow,False,Poor,Good,Poor,Good,6.0,2.85,26.133478512262872,189.49891,Steel
1.0,1.0,35.0,Rural,52.0,Excellent,False,Gas,True,True,White,False,Good,Good,Excellent,Excellent,46.0,2.73,36.00474472339863,425.90971,Steel
1.0,1.0,59.0,Rural,69.0,NoPool,False,Gas,False,True,Gray,False,Good,Good,Good,Good,6.0,1.04,57.0,206.81693,Wood
1.0,1.0,26.0,Rural,50.0,NoPool,False,Electric,False,False,White,False,Poor,Excellent,Good,Good,6.0,2.52,15.6,66.73551,Aluminum
1.0,1.0,42.0,Rural,37.0,NoPool,False,Electric,False,False,White,False,Excellent,Good,Good,Good,6.0,3.54,25.8,160.08991,Wood
1.0,1.0,54.0,Urban,53.0,NoPool,False,Electric,True,True,White,False,Poor,Excellent,Poor,Good,6.0,1.38,34.6320083362796,135.81925,Wood
5.0,4.0,140.0,Suburban,18.0,Good,False,Electric,True,True,Gray,False,Good,Excellent,Good,Excellent,16.0,2.36,84.6,179.91249,Wood
3.0,2.0,120.0,Rural,67.0,NoPool,False,Oil,False,False,Gray,False,Good,Good,Good,Excellent,6.0,1.54,192.1685768926367,395.16137,Steel
1.0,1.0,102.0,Rural,47.0,Excellent,False,Oil,True,False,Green,False,Good,Excellent,Good,Excellent,46.0,3.39,161.6,367.64759,Aluminum
1.0,1.0,73.0,Suburban,69.0,NoPool,False,Gas,False,False,Gray,False,Good,Good,Poor,Excellent,6.0,1.09,73.5155563257145,80.46997,Wood
2.0,1.0,132.0,Suburban,27.0,NoPool,True,Oil,True,True,Yellow,False,Good,Excellent,Good,Good,6.0,1.98,211.42355557284827,212.69941,Steel
3.0,2.0,128.0,Suburban,29.0,NoPool,False,Electric,False,False,Green,False,Excellent,Excellent,Good,Excellent,6.0,2.02,76.8,91.6218,Aluminum
2.0,3.0,123.0,Suburban,38.0,NoPool,False,Electric,True,True,Yellow,False,Excellent,Excellent,Excellent,Good,6.0,1.2,73.96330906172417,114.44502,Aluminum
1.0,1.0,41.0,Suburban,53.0,NoPool,True,Oil,True,True,White,False,Poor,Excellent,Good,Poor,6.0,2.96,65.40663391457723,59.27714,Aluminum
1.0,1.0,45.0,Urban,47.0,NoPool,True,Oil,True,True,Gray,False,Excellent,Good,Good,Excellent,6.0,1.87,71.8249601413144,177.63342,Wood
1.0,2.0,87.0,Suburban,61.0,Good,False,Electric,True,False,Gray,False,Excellent,Excellent,Excellent,Poor,16.0,1.46,53.44263042236179,138.39895,Steel
